trade_id,stock_symbol,trade_type,trade_date,trade_time,trade_price,trade_volume,trade_currency,trade_fee,trade_notes
1,AMZN,sell,3/23/2023,10:41 PM,65749.03,859666,SEK,944.9,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci
2,GOOGL,buy,2/15/2023,7:12 PM,574900.89,477723,CNY,528.77,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam
3,TSLA,buy,11/15/2022,6:34 AM,335614.02,707640,LYD,269.49,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
4,AMZN,sell,1/2/2023,7:15 PM,887697.99,348917,EUR,383.22,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
5,TSLA,buy,7/6/2022,4:56 AM,167768.02,32609,PKR,41.3,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin
6,GOOGL,sell,11/29/2022,2:48 AM,883995.72,792410,EUR,910.75,proin leo odio porttitor id consequat in consequat ut nulla
7,AAPL,buy,6/20/2022,10:01 PM,83621.54,676536,JPY,902.46,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
8,AAPL,buy,3/14/2023,6:19 PM,366485.13,512885,JPY,8.2,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
9,GOOGL,sell,6/8/2022,9:10 AM,157752.2,36549,THB,61.69,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
10,TSLA,buy,12/18/2022,1:54 AM,718836.66,380247,XAF,526.51,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
11,FB,sell,9/20/2022,7:33 AM,474602.18,519052,CNY,94.34,praesent blandit lacinia erat vestibulum sed magna at nunc commodo
