flight_id,departure_airport,arrival_airport,scheduled_departure_datetime,actual_departure_datetime,scheduled_arrival_datetime,actual_arrival_datetime,distance_miles
36335,ONT,DTW,2022-01-01 06:54:00,2022-01-01 06:50:00,2022-01-01 12:13:00,2022-01-01 12:07:00,1930
54120,IND,SAT,2022-01-01 07:16:00,2022-01-01 07:20:00,2022-01-01 10:14:00,2022-01-01 10:24:00,985
33838,AUS,MEM,2022-01-01 07:30:00,2022-01-01 07:32:00,2022-01-01 09:24:00,2022-01-01 09:22:00,558
98400,JAX,TUL,2022-01-01 07:32:00,2022-01-01 07:36:00,2022-01-01 10:18:00,2022-01-01 10:29:00,908
97660,ATL,SNA,2022-01-01 07:44:00,2022-01-01 07:48:00,2022-01-01 13:01:00,2022-01-01 13:11:00,1915
52440,LGA,RNO,2022-01-01 07:50:00,2022-01-01 07:54:00,2022-01-01 14:20:00,2022-01-01 14:27:00,2398
49930,SFO,PBI,2022-01-01 07:51:00,2022-01-01 07:56:00,2022-01-01 14:46:00,2022-01-01 15:05:00,2563
14802,PBI,LAX,2022-01-01 08:04:00,2022-01-01 08:05:00,2022-01-01 14:23:00,2022-01-01 14:23:00,2326
28859,FLL,SJC,2022-01-01 08:13:00,2022-01-01 08:12:00,2022-01-01 15:06:00,2022-01-01 15:04:00,2553
68370,SDF,MCI,2022-01-01 08:28:00,2022-01-01 08:29:00,2022-01-01 10:11:00,2022-01-01 10:16:00,489
38837,SFO,MSP,2022-01-01 08:29:00,2022-01-01 08:27:00,2022-01-01 12:57:00,2022-01-01 12:56:00,1585
12302,CVG,ONT,2022-01-01 08:45:00,2022-01-01 08:46:00,2022-01-01 13:53:00,2022-01-01 13:54:00,1850
50325,PWM,MIA,2022-01-01 09:03:00,2022-01-01 09:02:00,2022-01-01 12:56:00,2022-01-01 12:56:00,1355
63018,TPA,CLT,2022-01-01 09:05:00,2022-01-01 09:17:00,2022-01-01 10:51:00,2022-01-01 10:59:00,508
10675,SAT,STL,2022-01-01 09:21:00,2022-01-01 09:21:00,2022-01-01 11:49:00,2022-01-01 11:44:00,786
41435,AUS,BUF,2022-01-01 09:38:00,2022-01-01 09:33:00,2022-01-01 13:33:00,2022-01-01 13:23:00,1365
82291,DCA,IAH,2022-01-01 10:14:00,2022-01-01 10:11:00,2022-01-01 13:45:00,2022-01-01 13:41:00,1206
10848,PHL,PIT,2022-01-01 10:37:00,2022-01-01 10:47:00,2022-01-01 11:47:00,2022-01-01 12:00:00,267
19125,ONT,DTW,2022-01-01 10:40:00,2022-01-01 10:44:00,2022-01-01 15:59:00,2022-01-01 16:08:00,1930
15581,PBI,DCA,2022-01-01 11:01:00,2022-01-01 11:03:00,2022-01-01 13:40:00,2022-01-01 13:42:00,859
29111,MCO,SAV,2022-01-01 11:04:00,2022-01-01 10:58:00,2022-01-01 12:12:00,2022-01-01 12:16:00,255
63580,MDW,TPA,2022-01-01 11:24:00,2022-01-01 11:23:00,2022-01-01 14:24:00,2022-01-01 14:19:00,998
58682,PDX,DEN,2022-01-01 11:35:00,2022-01-01 11:34:00,2022-01-01 14:33:00,2022-01-01 14:54:00,989
37217,ANC,SFO,2022-01-01 11:38:00,2022-01-01 11:32:00,2022-01-01 17:10:00,2022-01-01 17:01:00,2016
27594,SAV,MSY,2022-01-01 12:37:00,2022-01-01 12:44:00,2022-01-01 14:30:00,2022-01-01 14:43:00,555
66960,SAN,SFO,2022-01-01 12:37:00,2022-01-01 12:57:00,2022-01-01 14:14:00,2022-01-01 14:33:00,446
76026,PBI,SLC,2022-01-01 12:45:00,2022-01-01 12:49:00,2022-01-01 18:23:00,2022-01-01 18:29:00,2059
33378,JFK,BUF,2022-01-01 13:20:00,2022-01-01 13:26:00,2022-01-01 14:35:00,2022-01-01 14:37:00,300
62820,HNL,RIC,2022-01-01 13:24:00,2022-01-01 13:27:00,2022-01-02 02:00:00,2022-01-02 01:59:00,4838
27350,SNA,SDF,2022-01-01 13:27:00,2022-01-01 13:31:00,2022-01-01 18:29:00,2022-01-01 18:38:00,1815
53081,LGA,FAI,2022-01-01 13:33:00,2022-01-01 13:37:00,2022-01-01 22:12:00,2022-01-01 22:18:00,3259
23038,JAX,BNA,2022-01-01 14:10:00,2022-01-01 14:08:00,2022-01-01 15:52:00,2022-01-01 15:51:00,484
66553,TUL,ANC,2022-01-01 14:19:00,2022-01-01 14:15:00,2022-01-01 22:02:00,2022-01-01 21:59:00,2888
11730,CMH,FLL,2022-01-01 14:48:00,2022-01-01 14:51:00,2022-01-01 17:44:00,2022-01-01 17:50:00,975
36669,DEN,MEM,2022-01-01 15:04:00,2022-01-01 15:04:00,2022-01-01 17:44:00,2022-01-01 17:41:00,871
99728,RDU,SAT,2022-01-01 15:08:00,2022-01-01 15:07:00,2022-01-01 18:41:00,2022-01-01 18:40:00,1222
23285,STL,SFO,2022-01-01 15:14:00,2022-01-01 15:09:00,2022-01-01 20:03:00,2022-01-01 19:53:00,1731
74608,MEM,PIT,2022-01-01 15:41:00,2022-01-01 15:52:00,2022-01-01 17:49:00,2022-01-01 18:09:00,651
26145,JAX,ANC,2022-01-01 15:46:00,2022-01-01 15:43:00,2022-01-02 01:28:00,2022-01-02 01:29:00,3681
42345,CVG,DTW,2022-01-01 15:46:00,2022-01-01 15:45:00,2022-01-01 16:51:00,2022-01-01 16:45:00,229
30679,RDU,ANC,2022-01-01 16:02:00,2022-01-01 16:02:00,2022-01-02 01:13:00,2022-01-02 01:16:00,3473
90747,SFB,SAN,2022-01-01 16:27:00,2022-01-01 16:30:00,2022-01-01 22:18:00,2022-01-01 22:19:00,2142
84978,PDX,LAX,2022-01-01 16:29:00,2022-01-01 16:29:00,2022-01-01 19:04:00,2022-01-01 19:07:00,834
42208,LAX,SMF,2022-01-01 16:38:00,2022-01-01 16:40:00,2022-01-01 18:03:00,2022-01-01 18:06:00,373
27991,SLC,ADW,2022-01-01 16:45:00,2022-01-01 16:50:00,2022-01-01 21:53:00,2022-01-01 21:54:00,1857
46522,TUL,PWM,2022-01-01 16:48:00,2022-01-01 16:52:00,2022-01-01 20:55:00,2022-01-01 20:58:00,1443
48781,JFK,DCA,2022-01-01 16:56:00,2022-01-01 17:09:00,2022-01-01 17:58:00,2022-01-01 18:13:00,212
60112,FAI,IAH,2022-01-01 17:04:00,2022-01-01 17:01:00,2022-01-02 01:46:00,2022-01-02 01:55:00,3277
60745,JFK,STL,2022-01-01 17:13:00,2022-01-01 17:12:00,2022-01-01 19:56:00,2022-01-01 19:57:00,890
34653,RIC,RSW,2022-01-01 17:34:00,2022-01-01 17:59:00,2022-01-01 20:04:00,2022-01-01 20:27:00,801
98337,BNA,DEN,2022-01-01 18:15:00,2022-01-01 18:14:00,2022-01-01 21:16:00,2022-01-01 21:21:00,1011
31710,PHL,RDU,2022-01-01 18:23:00,2022-01-01 18:22:00,2022-01-01 19:44:00,2022-01-01 19:50:00,337
56385,TPA,BWI,2022-01-01 18:31:00,2022-01-01 18:30:00,2022-01-01 21:07:00,2022-01-01 21:03:00,844
26928,MCO,LGA,2022-01-01 18:46:00,2022-01-01 18:41:00,2022-01-01 21:39:00,2022-01-01 21:40:00,951
42720,CLT,ADW,2022-01-01 18:53:00,2022-01-01 19:23:00,2022-01-01 20:13:00,2022-01-01 20:41:00,335
91196,FLL,RDU,2022-01-01 19:00:00,2022-01-01 18:58:00,2022-01-01 21:12:00,2022-01-01 21:25:00,682
91709,IAD,SLC,2022-01-01 19:01:00,2022-01-01 19:04:00,2022-01-02 00:05:00,2022-01-02 00:08:00,1824
44645,ONT,OAK,2022-01-01 19:09:00,2022-01-01 19:33:00,2022-01-01 20:33:00,2022-01-01 20:53:00,361
67627,MEM,DTW,2022-01-01 19:28:00,2022-01-01 19:29:00,2022-01-01 21:29:00,2022-01-01 21:36:00,610
15295,TUL,BOS,2022-01-01 19:30:00,2022-01-01 19:30:00,2022-01-01 23:29:00,2022-01-01 23:34:00,1391
79253,SAT,EWR,2022-01-01 19:47:00,2022-01-01 19:48:00,2022-01-02 00:12:00,2022-01-02 00:11:00,1567
21574,SAN,SMF,2022-01-01 19:52:00,2022-01-01 19:55:00,2022-01-01 21:34:00,2022-01-01 21:35:00,480
77630,RDU,BOS,2022-01-01 19:54:00,2022-01-01 19:58:00,2022-01-01 21:55:00,2022-01-01 22:02:00,611
42974,IAD,PIT,2022-01-01 19:57:00,2022-01-01 20:07:00,2022-01-01 20:55:00,2022-01-01 21:03:00,182
26471,SAV,LAX,2022-01-01 20:15:00,2022-01-01 20:10:00,2022-01-02 02:07:00,2022-01-02 02:08:00,2147
59529,CLE,PHL,2022-01-01 20:15:00,2022-01-01 20:21:00,2022-01-01 21:40:00,2022-01-01 21:58:00,362
26124,BUF,MKE,2022-01-01 20:23:00,2022-01-01 20:29:00,2022-01-01 22:03:00,2022-01-01 22:13:00,463
18866,PHX,ADW,2022-01-01 21:07:00,2022-01-01 21:02:00,2022-01-02 02:35:00,2022-01-02 02:27:00,1984
44847,SAV,IAH,2022-01-01 21:12:00,2022-01-01 21:16:00,2022-01-01 23:49:00,2022-01-01 23:53:00,849
81892,MIA,SNA,2022-01-01 21:12:00,2022-01-01 21:10:00,2022-01-02 03:28:00,2022-01-02 03:17:00,2306
97998,MEM,PWM,2022-01-01 21:33:00,2022-01-01 21:30:00,2022-01-02 01:03:00,2022-01-02 00:56:00,1203
76285,PVD,ORD,2022-01-01 21:40:00,2022-01-01 21:41:00,2022-01-02 00:17:00,2022-01-02 00:17:00,847
84439,ONT,DTW,2022-01-02 06:54:00,2022-01-02 06:53:00,2022-01-02 12:13:00,2022-01-02 12:12:00,1930
37812,IND,SAT,2022-01-02 07:16:00,2022-01-02 07:16:00,2022-01-02 10:14:00,2022-01-02 10:22:00,985
80956,ATL,SNA,2022-01-02 07:44:00,2022-01-02 07:46:00,2022-01-02 13:01:00,2022-01-02 13:03:00,1915
82602,SFO,PBI,2022-01-02 07:51:00,2022-01-02 07:47:00,2022-01-02 14:46:00,2022-01-02 14:46:00,2563
70048,SFO,MSP,2022-01-02 08:29:00,2022-01-02 08:31:00,2022-01-02 12:57:00,2022-01-02 12:53:00,1585
